time,"(720, +oo]","(700, 720]","(680, 700]","(660, 680]","(640, 660]","(620, 640]","(600, 620]","(580, 600]",(0 580]
2024-05-26 00:22:20,0.008,0.008,0.011,0.008,0.003,0.117,0.836,0.004,0.004
2024-05-26 00:23:35,0.008,0.008,0.047,0.008,0.003,0.113,0.806,0.004,0.004
2024-05-26 00:23:41,0.008,0.008,0.075,0.008,0.002,0.11,0.782,0.004,0.004
2024-05-26 00:26:27,0.006,0.006,0.265,0.006,0.002,0.087,0.621,0.003,0.003
2024-05-26 00:26:47,0.005,0.005,0.218,0.005,0.002,0.072,0.689,0.002,0.002
2024-05-26 00:28:41,0.004,0.004,0.431,0.004,0.001,0.052,0.501,0.002,0.002
2024-05-26 00:29:16,0.006,0.006,0.014,0.006,0.002,0.09,0.869,0.003,0.003
2024-05-26 00:30:17,0.007,0.007,0.002,0.006,0.002,0.091,0.879,0.003,0.003
2024-05-26 00:30:29,0.007,0.007,0.002,0.006,0.002,0.092,0.879,0.003,0.003
2024-05-26 00:35:29,0.008,0.008,0.007,0.008,0.003,0.118,0.84,0.004,0.004
2024-05-26 00:35:51,0.008,0.008,0.011,0.008,0.003,0.117,0.836,0.004,0.004
2024-05-26 00:36:23,0.008,0.008,0.029,0.008,0.003,0.115,0.821,0.004,0.004
2024-05-26 00:36:48,0.008,0.008,0.037,0.008,0.003,0.114,0.814,0.004,0.004
2024-05-26 01:08:12,0.006,0.006,0.317,0.006,0.002,0.081,0.577,0.003,0.003
2024-05-26 01:08:30,0.008,0.008,0.094,0.008,0.002,0.107,0.766,0.004,0.004
2024-05-26 01:10:15,0.007,0.007,0.146,0.007,0.002,0.101,0.722,0.003,0.004
2024-05-26 01:10:36,0.008,0.008,0.011,0.008,0.003,0.117,0.836,0.004,0.004
2024-05-26 01:25:11,0.008,0.008,0.011,0.008,0.003,0.117,0.837,0.004,0.004
2024-05-26 01:25:41,0.008,0.008,0.011,0.008,0.003,0.117,0.836,0.004,0.004
2024-05-26 01:26:20,0.008,0.008,0.011,0.008,0.003,0.118,0.836,0.004,0.004
2024-05-26 01:26:46,0.006,0.006,0.008,0.006,0.002,0.083,0.883,0.003,0.003
2024-05-26 01:26:59,0.008,0.008,0.011,0.008,0.003,0.118,0.836,0.004,0.004
2024-05-26 01:28:03,0.005,0.005,0.007,0.005,0.002,0.076,0.893,0.003,0.003
2024-05-26 01:28:26,0.008,0.008,0.011,0.008,0.003,0.118,0.836,0.004,0.004
2024-05-26 01:29:49,0.008,0.008,0.011,0.008,0.003,0.118,0.836,0.004,0.004
2024-05-26 01:41:30,0.005,0.005,0.007,0.005,0.002,0.076,0.893,0.003,0.003
2024-05-26 01:42:39,0.004,0.004,0.005,0.004,0.001,0.053,0.926,0.002,0.002
2024-05-26 01:43:16,0.006,0.006,0.008,0.006,0.002,0.083,0.883,0.003,0.003
2024-05-27 00:23:35,0.004,0.004,0.005,0.004,0.001,0.053,0.926,0.002,0.002
2024-05-27 00:24:56,0.006,0.006,0.007,0.006,0.002,0.13,0.838,0.003,0.003
2024-05-27 00:26:00,0.008,0.008,0.011,0.008,0.003,0.195,0.758,0.004,0.004
2024-05-27 01:27:04,0.011,0.011,0.014,0.011,0.004,0.26,0.678,0.005,0.005
2024-05-27 01:28:34,0.006,0.006,0.008,0.006,0.002,0.142,0.824,0.003,0.003
2024-05-27 01:30:19,0.004,0.004,0.005,0.004,0.001,0.097,0.88,0.002,0.002
2024-05-27 01:30:45,0.003,0.003,0.004,0.003,0.001,0.069,0.914,0.001,0.001
2024-05-27 05:44:12,0.006,0.006,0.008,0.006,0.002,0.139,0.828,0.003,0.003
2024-05-27 11:45:30,0.004,0.004,0.005,0.004,0.001,0.09,0.888,0.002,0.002
2024-05-27 11:46:08,0.004,0.004,0.005,0.004,0.001,0.113,0.866,0.002,0.002
2024-05-27 11:47:25,0.004,0.004,0.005,0.004,0.001,0.09,0.888,0.002,0.002
2024-05-27 11:47:59,0.004,0.004,0.005,0.004,0.001,0.113,0.866,0.002,0.002
2024-05-27 13:39:43,0.005,0.005,0.007,0.005,0.002,0.152,0.82,0.002,0.003
2024-05-27 14:30:03,0.005,0.005,0.007,0.005,0.002,0.134,0.837,0.002,0.003
2024-05-27 14:31:00,0.005,0.005,0.007,0.005,0.002,0.134,0.837,0.002,0.003
2024-05-27 14:36:41,0.005,0.005,0.007,0.005,0.002,0.128,0.843,0.002,0.002
2024-05-27 14:52:23,0.007,0.007,0.01,0.007,0.003,0.184,0.774,0.003,0.004
2024-05-27 14:57:36,0.005,0.005,0.007,0.005,0.002,0.134,0.837,0.002,0.003
2024-05-27 14:59:30,0.007,0.007,0.01,0.007,0.003,0.184,0.774,0.003,0.004
2024-05-27 16:06:54,0.007,0.007,0.01,0.007,0.002,0.175,0.784,0.003,0.003
2024-05-27 16:07:34,0.007,0.007,0.01,0.007,0.002,0.172,0.789,0.003,0.003
2024-05-27 19:12:08,0.007,0.007,0.01,0.007,0.003,0.172,0.788,0.003,0.003
2024-05-27 19:18:56,0.007,0.007,0.01,0.007,0.002,0.172,0.789,0.003,0.003
2024-05-27 19:25:15,0.006,0.006,0.009,0.006,0.002,0.158,0.805,0.003,0.003
2024-05-27 19:25:40,0.005,0.005,0.007,0.005,0.002,0.129,0.841,0.003,0.003
2024-05-27 19:26:10,0.005,0.005,0.007,0.004,0.002,0.114,0.86,0.002,0.002
2024-05-27 19:28:24,0.005,0.005,0.006,0.004,0.002,0.111,0.864,0.002,0.002
2024-05-27 19:28:54,0.004,0.004,0.006,0.004,0.001,0.099,0.878,0.002,0.002
2024-05-27 19:30:45,0.004,0.004,0.006,0.004,0.001,0.101,0.875,0.002,0.002
2024-05-27 19:34:40,0.004,0.004,0.006,0.004,0.001,0.102,0.874,0.002,0.002
2024-05-27 19:35:38,0.005,0.005,0.007,0.004,0.002,0.114,0.86,0.002,0.002
2024-05-27 20:16:32,0.003,0.003,0.004,0.003,0.001,0.074,0.909,0.001,0.001
2024-05-27 20:18:00,0.005,0.005,0.007,0.004,0.002,0.115,0.859,0.002,0.002
2024-05-27 22:33:51,0.003,0.003,0.004,0.003,0.001,0.074,0.909,0.001,0.001
2024-05-27 22:34:28,0.002,0.002,0.003,0.002,0.001,0.046,0.943,0.001,0.001
2024-05-27 22:34:56,0.003,0.003,0.004,0.003,0.001,0.074,0.909,0.001,0.001
2024-05-27 23:30:03,0.004,0.004,0.006,0.004,0.002,0.149,0.825,0.002,0.002
2024-05-28 00:27:37,0.004,0.004,0.006,0.004,0.002,0.149,0.825,0.002,0.002
